Dataset,Model,AUROC,AUROC_CI_low,AUROC_CI_high,AUPRC,AUPRC_CI_low,AUPRC_CI_high,Brier,Brier_CI_low,Brier_CI_high,ECE,ECE_CI_low,ECE_CI_high
Alibaba DLRM,RandomForest,0.8453164186208285,0.8006195930431625,0.8817282330993674,0.32846426858095423,0.2551907573688963,0.40078655837518745,0.04473733563229982,0.0383468320400448,0.050624334082219245,0.008830871684724793,0.004241419490158987,0.01790154278505566
EKS Dec (Slurm),RandomForest,0.978129713423831,0.9532596153846153,0.9948680555555556,0.9227207977207978,0.8500021864515372,0.9846894128428417,0.03633629431985339,0.013525448942615818,0.06314229456768189,0.019949761800761173,0.007516320876985881,0.05709765598081784
Google Borg,RandomForest,0.5245256922701421,0.5063324482888739,0.5392607565543753,0.1043557815062311,0.09715433975136033,0.11310315698987301,0.08925076026935767,0.08453079556014426,0.09395510475114888,0.0012502317285273134,0.000550229850623117,0.008278372010520308
