configuration,n_features,n_jobs_total,n_jobs_usable,auroc,ece,mce,precision,recall,f1,base_rate_long_wait,tier_1_annotate,tier_2_warn,tier_3_suggest,tier_4_gate,calibration,source,note
floor,2,650,582,0.756,0.077,0.188,0.743,0.732,0.738,0.541,qualifies,marginal,not_qualified,not_qualified,isotonic,paper_table_3,Floor model uses pending_at_submit and running_at_submit only; values reproduced verbatim from VGAC PEARC '26 paper Table 3
ceiling,17,11982,11982,0.969,0.005,0.024,0.952,0.943,0.947,0.541,qualifies,qualifies,qualifies,qualifies,isotonic,paper_table_4,Production VGAC model on the full 17+ feature set across Kubernetes and Slurm workloads; values reproduced verbatim from VGAC PEARC '26 paper Tables 4 and 5
